id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
250016,911,CEW5,2953,75,ASPHALT,0,0,5,,,,,,23,,,,,
234580,914,CEX3,3876,100,ASP,1,0,12,52.96920013,-113.4189987,2508,134,,30,52.9618988,-113.4059982,23WV,314,358
252305,917,CEX9,4000,75,TURF,0,0,16,,,,,,34,,,,,
234959,918,CEY3,3000,75,ASP,1,0,6,49.69889832,-113.4229965,,74,,24,49.7010994,-113.4110031,,24S,
249253,920,CEZ3,2950,75,ASP,1,0,10,,,,,,28,,,,,
235022,921,CEZ4,3000,100,ASP,1,0,8,58.40439987,-115.9589996,,96,,26,58.40359879,-115.9430008,,276,
353948,353947,CFA2,85,85,CON,0,0,H1,,,,,,,,,,,
255260,924,CFA5,2400,100,TURF,0,0,3,,,,,,21,,,,,
250769,928,CFB3,2600,100,TURF,0,0,2,,,,,,20,,,,,
250770,928,CFB3,2800,100,TURF,0,0,11,,,,,,29,,,,,
256007,929,CFB4,3000,75,TURF,0,0,4,,,,,,22,,,,,
253842,930,CFB5,2000,100,TURF,0,0,7,,,,,,25,,,,,
234553,931,CFB6,4560,100,ASP,1,0,8,53.72809982,-113.0930023,,102,394,26,53.72639847,-113.0790024,,282,1S7
256003,932,CFB7,5000,100,TURF,0,0,17,,,,,,35,,,,,
255279,934,CFC6,2500,45,TURF,0,0,13,,,,,,31,,,,,
249279,935,CFC7,2950,75,TURF,0,0,14,,,,,,32,,,,,
234927,936,CFD4,3000,75,ASP,1,0,5,49.48139954,-111.5,,66,,23,49.48469925,-111.4889984,,246,
301318,937,CFD5,2940,75,Turf / Snow,0,0,7,,,,,,25,,,,,920
248472,942,CFF2,2400,100,GRAVEL,0,0,9,,,,,,27,,,,,
246336,8S3,CFF3,2400,100,TURF,0,0,13,,,,,,31,,,,,
234435,945,CFF7,3406,120,GRS,0,1,3,52.8260994,-110.9069977,,51,,21,52.83190155,-110.8949966,,231,
234436,945,CFF7,5036,120,GRS,0,0,11,52.83750153,-110.9089966,2159,11W,980,29,52.82920074,-110.8909988,2160,308,
253839,946,CFF9,2000,60,TURF,0,0,16,,,,,,34,,,,,
234759,947,CFG3,3000,75,ASP,1,0,13,52.02030182,-110.7529984,,150,,31,52.01309967,-110.7470016,,330,
251529,948,CFG4,2950,75,TURF,0,0,7,,,,,,25,,,,,
576748,949,CFG5,3360,90,TURF,0,0,6,,,,,,24,,,,,
271047,46534,CFG6,6890,148,Asphalt,1,0,16,,,,,,34,,,,,
323477,320584,CFH2,100,100,Asphalt,0,0,H1,51.05516434,-114.1695023,,,,,51.055439,-114.1695023,,,
234470,951,CFH4,47VT,75,ASP,0,0,15,45.87390137,-63.46889877,52,11U,,33,45.86610031,-63.45339966,62,306,
256008,953,CFH8,2400,90,TURF,0,0,7,,,,,,25,,,,,
